Country,2023 Population,Area (km²),Density (per km²),Growth Rate (%),World Population Percentage
China,1425671352,9706961,146,0.2,17.7
India,1407563842,3287263,428,0.8,17.5
USA,339996563,9833517,35,0.4,4.2
Indonesia,277534122,1904569,145,1.1,3.5
Pakistan,240485658,881912,273,2.0,3.0
